case_id,pattern_id,expected,candidate_function,reference_function,security_sensitive_operation,defensive_operation,source,note,candidate_role,candidate_present,candidate_path,located_comparable_functions,per_pattern_limit
P07,PAT07,bug,cs35l56_hda_read_acpi,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,confirmed_bugs.csv,confirmed missing-defense case from recorded audit,confirmed_bug,yes,sound/pci/hda/cs35l56_hda.c,32,10
PAT07-R01,PAT07,unknown,gmin_i2c_dev_exists,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/staging/media/atomisp/pci/atomisp_gmin_platform.c,32,10
PAT07-R02,PAT07,unknown,snd_byt_cht_cx2072x_probe,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,sound/soc/intel/boards/bytcht_cx2072x.c,32,10
PAT07-R03,PAT07,unknown,get_serdev_controller,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/platform/x86/serdev_helpers.h,32,10
PAT07-R04,PAT07,unknown,cs35l41_compute_codec_conf,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,sound/soc/intel/boards/sof_cirrus_common.c,32,10
PAT07-R05,PAT07,unknown,snd_byt_rt5651_mc_probe,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,sound/soc/intel/boards/bytcr_rt5651.c,32,10
PAT07-R06,PAT07,unknown,bytcht_da7213_probe,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,sound/soc/intel/boards/bytcht_da7213.c,32,10
PAT07-R07,PAT07,unknown,st_es8336_late_probe,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,sound/soc/amd/acp-es8336.c,32,10
PAT07-R08,PAT07,unknown,axp288_extcon_probe,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/extcon/extcon-axp288.c,32,10
PAT07-R09,PAT07,unknown,snd_byt_wm5102_mc_probe,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,sound/soc/intel/boards/bytcr_wm5102.c,32,10
P08,PAT08,bug,iso_listen_bis,iso_listen_bis,hci_get_route,hci_dev_put,confirmed_bugs.csv,confirmed missing-defense case from recorded audit,confirmed_bug,yes,net/bluetooth/iso.c,10,10
PAT08-R01,PAT08,unknown,sco_sock_setsockopt,iso_listen_bis,hci_get_route,hci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,net/bluetooth/sco.c,10,10
PAT08-R02,PAT08,unknown,iso_conn_big_sync,iso_listen_bis,hci_get_route,hci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,net/bluetooth/iso.c,10,10
PAT08-R03,PAT08,unknown,sco_connect,iso_listen_bis,hci_get_route,hci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,net/bluetooth/sco.c,10,10
PAT08-R04,PAT08,unknown,rfcomm_reparent_device,iso_listen_bis,hci_get_route,hci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,net/bluetooth/rfcomm/tty.c,10,10
PAT08-R05,PAT08,unknown,sco_sock_getsockopt,iso_listen_bis,hci_get_route,hci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,net/bluetooth/sco.c,10,10
PAT08-R06,PAT08,unknown,iso_connect_bis,iso_listen_bis,hci_get_route,hci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,net/bluetooth/iso.c,10,10
PAT08-R07,PAT08,unknown,get_l2cap_conn,iso_listen_bis,hci_get_route,hci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,net/bluetooth/6lowpan.c,10,10
PAT08-R08,PAT08,unknown,iso_connect_cis,iso_listen_bis,hci_get_route,hci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,net/bluetooth/iso.c,10,10
PAT08-R09,PAT08,unknown,l2cap_chan_connect,iso_listen_bis,hci_get_route,hci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,net/bluetooth/l2cap_core.c,10,10
P09,PAT09,bug,fhci_create_ep,fhci_create_ep,cpm_muram_alloc,cpm_muram_free,confirmed_bugs.csv,confirmed missing-defense case from recorded audit,confirmed_bug,yes,drivers/usb/host/fhci-tds.c,11,10
PAT09-R01,PAT09,unknown,cpm_uart_allocbuf,fhci_create_ep,cpm_muram_alloc,cpm_muram_free,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/tty/serial/cpm_uart.c,11,10
PAT09-R02,PAT09,unknown,cpm_i2c_setup,fhci_create_ep,cpm_muram_alloc,cpm_muram_free,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/i2c/busses/i2c-cpm.c,11,10
PAT09-R03,PAT09,unknown,allocate_bd,fhci_create_ep,cpm_muram_alloc,cpm_muram_free,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/net/ethernet/freescale/fs_enet/mac-scc.c,11,10
PAT09-R04,PAT09,unknown,do_pd_setup,fhci_create_ep,cpm_muram_alloc,cpm_muram_free,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/net/ethernet/freescale/fs_enet/mac-fcc.c,11,10
PAT09-R05,PAT09,unknown,cpm_uart_map_pram,fhci_create_ep,cpm_muram_alloc,cpm_muram_free,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/tty/serial/cpm_uart.c,11,10
PAT09-R06,PAT09,unknown,fsl_spi_cpm_init,fhci_create_ep,cpm_muram_alloc,cpm_muram_free,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/spi/spi-fsl-cpm.c,11,10
PAT09-R07,PAT09,unknown,fsl_spi_cpm_get_pram,fhci_create_ep,cpm_muram_alloc,cpm_muram_free,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/spi/spi-fsl-cpm.c,11,10
PAT09-R08,PAT09,unknown,partition,fhci_create_ep,cpm_muram_alloc,cpm_muram_free,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/usb/host/fhci-tds.c,11,10
PAT09-R09,PAT09,unknown,qe_ep_bd_init,fhci_create_ep,cpm_muram_alloc,cpm_muram_free,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/usb/gadget/udc/fsl_qe_udc.c,11,10
P10,PAT10,bug,slave_show,slave_show,device_find_any_child,put_device,confirmed_bugs.csv,confirmed missing-defense case from recorded audit,confirmed_bug,yes,drivers/spi/spi.c,5,10
PAT10-R01,PAT10,unknown,slave_store,slave_show,device_find_any_child,put_device,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/spi/spi.c,5,10
PAT10-R02,PAT10,unknown,of_unittest_pci_node_verify,slave_show,device_find_any_child,put_device,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/of/unittest.c,5,10
PAT10-R03,PAT10,unknown,ptp_ocp_find_flash,slave_show,device_find_any_child,put_device,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/ptp/ptp_ocp.c,5,10
PAT10-R04,PAT10,unknown,gpio_mockup_debugfs_setup,slave_show,device_find_any_child,put_device,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/gpio/gpio-mockup.c,5,10
P11,PAT11,bug,iscsi_set_host_param,iscsi_set_host_param,scsi_host_lookup,scsi_host_put,confirmed_bugs.csv,confirmed missing-defense case from recorded audit,confirmed_bug,yes,drivers/scsi/scsi_transport_iscsi.c,20,10
PAT11-R01,PAT11,unknown,pscsi_pmode_enable_hba,iscsi_set_host_param,scsi_host_lookup,scsi_host_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/target/target_core_pscsi.c,20,10
PAT11-R02,PAT11,unknown,iscsi_set_chap,iscsi_set_host_param,scsi_host_lookup,scsi_host_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/scsi/scsi_transport_iscsi.c,20,10
PAT11-R03,PAT11,unknown,iscsi_send_ping,iscsi_set_host_param,scsi_host_lookup,scsi_host_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/scsi/scsi_transport_iscsi.c,20,10
PAT11-R04,PAT11,unknown,iscsi_set_flashnode_param,iscsi_set_host_param,scsi_host_lookup,scsi_host_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/scsi/scsi_transport_iscsi.c,20,10
PAT11-R05,PAT11,unknown,iscsi_logout_flashnode_sid,iscsi_set_host_param,scsi_host_lookup,scsi_host_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/scsi/scsi_transport_iscsi.c,20,10
PAT11-R06,PAT11,unknown,pscsi_configure_device,iscsi_set_host_param,scsi_host_lookup,scsi_host_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/target/target_core_pscsi.c,20,10
PAT11-R07,PAT11,unknown,iscsi_tgt_dscvr,iscsi_set_host_param,scsi_host_lookup,scsi_host_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/scsi/scsi_transport_iscsi.c,20,10
PAT11-R08,PAT11,unknown,iscsi_get_host_stats,iscsi_set_host_param,scsi_host_lookup,scsi_host_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/scsi/scsi_transport_iscsi.c,20,10
PAT11-R09,PAT11,unknown,iscsi_logout_flashnode,iscsi_set_host_param,scsi_host_lookup,scsi_host_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/scsi/scsi_transport_iscsi.c,20,10
P12,PAT12,bug,nforce2_fsb_read,nforce2_fsb_read,pci_get_subsys,pci_dev_put,confirmed_bugs.csv,confirmed missing-defense case from recorded audit,confirmed_bug,yes,drivers/cpufreq/cpufreq-nforce2.c,7,10
PAT12-R01,PAT12,unknown,acpi_processor_errata,nforce2_fsb_read,pci_get_subsys,pci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/acpi/acpi_processor.c,7,10
PAT12-R02,PAT12,unknown,acpi_processor_errata_piix4,nforce2_fsb_read,pci_get_subsys,pci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/acpi/acpi_processor.c,7,10
PAT12-R03,PAT12,unknown,speedstep_detect_chipset,nforce2_fsb_read,pci_get_subsys,pci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/cpufreq/speedstep-ich.c,7,10
PAT12-R04,PAT12,unknown,vga_arb_device_init,nforce2_fsb_read,pci_get_subsys,pci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/pci/vgaarb.c,7,10
PAT12-R05,PAT12,unknown,pci_get_device,nforce2_fsb_read,pci_get_subsys,pci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/pci/search.c,7,10
PAT12-R06,PAT12,unknown,nforce2_detect_chipset,nforce2_fsb_read,pci_get_subsys,pci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/cpufreq/cpufreq-nforce2.c,7,10
P13,PAT13,bug,mptspi_write_spi_device_pg1,mptspi_write_spi_device_pg1,scsi_device_lookup_by_target,scsi_device_put,confirmed_bugs.csv,confirmed missing-defense case from recorded audit,confirmed_bug,yes,drivers/message/fusion/mptspi.c,5,10
PAT13-R01,PAT13,unknown,scsi_probe_and_add_lun,mptspi_write_spi_device_pg1,scsi_device_lookup_by_target,scsi_device_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/scsi/scsi_scan.c,5,10
PAT13-R02,PAT13,unknown,ahd_dump_target_state,mptspi_write_spi_device_pg1,scsi_device_lookup_by_target,scsi_device_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/scsi/aic7xxx/aic79xx_proc.c,5,10
PAT13-R03,PAT13,unknown,ahc_dump_target_state,mptspi_write_spi_device_pg1,scsi_device_lookup_by_target,scsi_device_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/scsi/aic7xxx/aic7xxx_proc.c,5,10
